Rank,Player,Team,Position,Age,PassCompletions,PassAttempts,PassYards,PassTouchdowns,Interceptions,RushAttempts,RushYards,RushYardsPerAttempt,RushTouchdowns,PassTargets,Receptions,ReceivingYards,ReceivingYardsPerAttempt,ReceivingTouchdowns,Fumbles,FumblesLost,Touchdowns,PPR,PositionRank,OverallRank,ID
221,JuJu Smith-Schuster,NWE,WR,27,0,0,0,0,0,0,0,,0,47,29,260,8.97,1,0,0,1,61,90,,SmitJu00
222,Rashod Bateman,BAL,WR,24,0,0,0,0,0,1,18,18,0,36,22,236,10.73,1,0,0,1,53.4,91,,BateRa00
223,Ty Chandler,MIN,RB,25,0,0,0,0,0,37,168,4.54,1,12,10,83,8.3,0,0,0,1,41.1,61,,ChanTy01
224,Kylen Granson,IND,TE,25,0,0,0,0,0,1,2,2,0,34,20,247,12.35,1,0,0,1,50.9,30,,GranKy00
225,Zay Jones,JAX,WR,28,0,0,0,0,0,0,0,,0,33,18,186,10.33,2,0,0,2,48.6,94,,JoneZa00
226,Marquez Valdes-Scantling,KAN,WR,29,0,0,0,0,0,0,0,,0,33,17,273,16.06,1,1,1,1,48.3,92,,ValdMa00
227,Mike Williams,LAC,WR,29,0,0,0,0,0,1,3,3,0,26,19,249,13.11,1,0,0,1,50.2,93,,WillMi07
228,Noah Fant,SEA,TE,26,0,0,0,0,0,0,0,,0,28,22,304,13.82,0,0,0,0,52.4,31,,FantNo00
229,Trenton Irwin,CIN,WR,28,0,0,0,0,0,0,0,,0,24,18,241,13.39,1,2,0,1,48.1,97,,IrwiTr00
230,Jauan Jennings,SFO,WR,26,0,0,0,0,0,0,0,,0,30,17,240,14.12,1,0,0,1,47,98,,JennJa00
231,Brandon Johnson,DEN,WR,25,0,0,0,0,0,0,0,,0,13,8,122,15.25,3,0,0,3,38.2,96,,JohnBr23
232,Quentin Johnston,LAC,WR,22,0,0,0,0,0,1,2,2,0,44,26,242,9.31,1,0,0,1,56.4,95,,JohnQu02
233,Bailey Zappe,NWE,QB,24,51,92,539,3,3,7,29,4.14,0,0,0,0,,0,0,0,0,30.5,43,,ZappBa00
234,Cedrick Wilson Jr.,MIA,WR,28,0,0,0,0,0,0,0,,0,19,12,171,14.25,2,0,0,2,41.1,99,,WilsCe01
235,Calvin Austin,PIT,WR,24,0,0,0,0,0,9,42,4.67,0,28,17,180,10.59,1,1,0,1,45.2,100,,AustCa00
236,Salvon Ahmed,MIA,RB,25,0,0,0,0,0,22,61,2.77,1,23,16,88,5.5,1,0,0,2,42.9,63,,AhmeSa01
237,Braxton Berrios,MIA,WR,28,0,0,0,0,0,1,11,11,0,26,20,194,9.7,1,1,0,1,46.5,101,,BerrBr00
238,Andrew Ogletree,IND,TE,25,0,0,0,0,0,0,0,,0,18,9,147,16.33,2,0,0,2,35.7,32,,OgleAn00
239,Pierre Strong,CLE,RB,25,0,0,0,0,0,37,173,4.68,1,4,3,38,12.67,0,0,0,1,30.1,62,,StroPi00
240,Matt Breida,NYG,RB,28,0,0,0,0,0,50,125,2.5,1,17,14,74,5.29,0,1,0,1,39.9,65,,BreiMa00
241,Jordan Mason,SFO,RB,24,0,0,0,0,0,23,127,5.52,2,2,1,13,13,0,0,0,2,27,64,,MasoJo00
242,DeVante Parker,NWE,WR,30,0,0,0,0,0,0,0,,0,39,22,264,12,0,0,0,0,48.4,102,,ParkDe01
243,Tommy Tremble,CAR,TE,23,0,0,0,0,0,0,0,,0,16,13,84,6.46,3,0,0,3,39.4,33,,TremTo00
244,Zach Ertz,ARI,TE,33,0,0,0,0,0,0,0,,0,43,27,187,6.93,1,0,0,1,51.7,35,,ErtzZa00
245,Isaiah Hodgins,NYG,WR,25,0,0,0,0,0,0,0,,0,25,15,154,10.27,2,1,1,2,40.4,103,,HodgIs00
246,Mack Hollins,ATL,WR,30,0,0,0,0,0,0,0,,0,29,17,247,14.53,0,0,0,0,41.7,104,,HollMa00
247,Tony Jones,2TM,RB,26,0,0,0,0,0,26,95,3.65,2,10,7,37,5.29,0,0,0,2,32.2,66,,JoneTo04
248,Craig Reynolds,DET,RB,27,0,0,0,0,0,41,179,4.37,1,5,5,47,9.4,0,2,2,1,29.6,67,,ReynCr00
249,Adam Trautman,DEN,TE,26,0,0,0,0,0,0,0,,0,25,17,131,7.71,2,0,0,2,42.1,34,,TrauAd00
250,Andy Dalton,CAR,QB,36,34,58,361,2,0,3,12,4,0,0,0,0,,0,0,0,0,23.6,44,,DaltAn00
251,Clyde Edwards-Helaire,KAN,RB,24,0,0,0,0,0,40,140,3.5,1,9,7,44,6.29,0,0,0,1,31.4,68,,EdwaCl00
252,Mike Gesicki,NWE,TE,28,0,0,0,0,0,0,0,,0,32,21,182,8.67,1,0,0,1,45.2,37,,GesiMi00
253,Hayden Hurst,CAR,TE,30,0,0,0,0,0,0,0,,0,32,18,184,10.22,1,0,0,1,42.4,36,,HursHa00
254,Jalen Tolbert,DAL,WR,24,0,0,0,0,0,0,0,,0,29,17,200,11.76,1,1,1,1,41,105,,TolbJa00
255,Olamide Zaccheaus,PHI,WR,26,0,0,0,0,0,0,0,,0,14,7,116,16.57,2,0,0,2,30.6,106,,ZaccOl01
256,Dyami Brown,WAS,WR,24,0,0,0,0,0,1,0,0,0,22,12,168,14,1,0,0,1,34.8,107,,BrowDy00
257,Pharaoh Brown,NWE,TE,29,0,0,0,0,0,0,0,,0,8,8,174,21.75,1,0,0,1,31.4,38,,BrowPh01
