Rank,Player,Team,Position,Age,PassCompletions,PassAttempts,PassYards,PassTouchdowns,Interceptions,RushAttempts,RushYards,RushYardsPerAttempt,RushTouchdowns,PassTargets,Receptions,ReceivingYards,ReceivingYardsPerAttempt,ReceivingTouchdowns,Fumbles,FumblesLost,Touchdowns,PPR,PositionRank,OverallRank,ID
328,MyCole Pruitt,ATL,TE,31,0,0,0,0,0,0,0,,0,8,5,64,12.8,1,0,0,1,17.4,62,,PruiMy00
329,Boston Scott,PHI,RB,28,0,0,0,0,0,13,69,5.31,0,5,4,52,13,0,0,0,0,16.1,85,,ScotBo02
330,Laviska Shenault Jr.,CAR,WR,25,0,0,0,0,0,12,55,4.58,0,10,10,60,6,0,1,0,0,21.5,135,,ShenLa00
331,Cole Turner,WAS,TE,23,0,0,0,0,0,0,0,,0,15,11,120,10.91,0,0,0,0,23,64,,TurnCo00
332,C.J. Uzomah,NYJ,TE,30,0,0,0,0,0,0,0,,0,12,8,58,7.25,1,0,0,1,19.8,65,,UzomC.00
333,Parker Washington,JAX,WR,21,0,0,0,0,0,0,0,,0,6,6,61,10.17,1,1,0,1,18.1,134,,WashPa01
334,Jameis Winston,NOR,QB,29,25,47,264,2,3,3,-4,-1.33,0,0,0,0,,0,0,0,0,12.2,48,,WinsJa00
335,Ronnie Bell,SFO,WR,23,0,0,0,0,0,0,0,,0,5,4,51,12.75,1,1,0,1,15.1,137,,BellRo01
336,Tim Boyle,NYJ,QB,29,48,77,360,1,4,4,5,1.25,0,0,0,0,,0,2,0,0,10.9,49,,BoylTi00
337,Will Dissly,SEA,TE,27,0,0,0,0,0,0,0,,0,15,10,108,10.8,0,0,0,0,20.8,66,,DissWi00
338,Jalen Guyton,LAC,WR,26,0,0,0,0,0,0,0,,0,16,6,50,8.33,1,0,0,1,17,138,,GuytJa01
339,Tyler Scott,CHI,WR,22,0,0,0,0,0,6,44,7.33,0,20,10,81,8.1,0,1,1,0,20.5,139,,ScotTy00
340,Ben Skowronek,LAR,WR,26,0,0,0,0,0,2,9,4.5,0,10,6,44,7.33,1,0,0,1,17.3,136,,SkowBe00
341,Emanuel Wilson,GNB,RB,24,0,0,0,0,0,14,85,6.07,0,5,4,23,5.75,0,1,0,0,14.8,87,,WilsEm00
342,Parris Campbell,NYG,WR,26,0,0,0,0,0,0,0,,0,27,20,104,5.2,0,0,0,0,30.4,140,,CampPa00
343,J.K. Dobbins,BAL,RB,25,0,0,0,0,0,8,22,2.75,1,3,2,15,7.5,0,0,0,1,11.7,91,,DobbJK00
344,Melvin Gordon,BAL,RB,30,0,0,0,0,0,13,53,4.08,0,3,3,46,15.33,0,0,0,0,12.9,90,,GordMe00
345,Keaontay Ingram,ARI,RB,24,0,0,0,0,0,35,74,2.11,0,4,4,26,6.5,0,0,0,0,14,89,,IngrKe01
346,Will Mallory,IND,TE,24,0,0,0,0,0,0,0,,0,15,8,95,11.88,0,0,0,0,17.5,68,,MallWi00
347,Donovan Peoples-Jones,2TM,WR,24,0,0,0,0,0,0,0,,0,20,8,97,12.13,0,1,0,0,17.7,141,,PeopDo00
348,Jeremy Ruckert,NYJ,TE,23,0,0,0,0,0,0,0,,0,17,11,98,8.91,0,0,0,0,20.8,67,,RuckJe00
349,Patrick Taylor,GNB,RB,25,0,0,0,0,0,16,71,4.44,0,12,6,32,5.33,0,0,0,0,16.3,88,,TaylPa01
350,Chris Brooks,MIA,RB,23,0,0,0,0,0,15,94,6.27,0,0,0,0,,0,0,0,0,9.4,92,,BrooCh00
351,Lawrence Cager,NYG,TE,26,0,0,0,0,0,0,0,,0,4,3,27,9,1,0,0,1,11.7,71,,CageLa01
352,Xavier Hutchinson,HOU,WR,23,0,0,0,0,0,4,44,11,0,4,2,43,21.5,0,0,0,0,10.7,144,,HutcXa00
353,Quintin Morris,BUF,TE,24,0,0,0,0,0,0,0,,0,3,2,26,13,1,0,0,1,10.6,72,,MorrQu00
354,Brenton Strange,JAX,TE,23,0,0,0,0,0,0,0,,0,7,4,34,8.5,1,0,0,1,13.4,69,,StraBr00
355,Stephen Sullivan,CAR,TE,27,0,0,0,0,0,0,0,,0,10,8,90,11.25,0,0,0,0,17,70,,SullSt00
356,Tyquan Thornton,NWE,WR,23,0,0,0,0,0,2,42,21,0,18,8,51,6.38,0,0,0,0,17.3,142,,ThorTy00
357,Cedric Tillman,CLE,WR,23,0,0,0,0,0,1,8,8,0,20,9,85,9.44,0,0,0,0,18.3,143,,TillCe01
358,Raheem Blackshear,CAR,RB,24,0,0,0,0,0,12,36,3,0,5,5,41,8.2,0,0,0,0,12.7,95,,BlacRa00
359,Chase Edmonds,TAM,RB,27,0,0,0,0,0,21,55,2.62,0,8,6,26,4.33,0,0,0,0,14.1,94,,EdmoCh00
360,Alec Ingold,MIA,FB,27,0,0,0,0,0,2,0,0,0,11,9,76,8.44,0,0,0,0,16.6,96,,IngoAl01
361,Julio Jones,PHI,WR,34,0,0,0,0,0,0,0,,0,8,5,16,3.2,1,0,0,1,12.6,147,,JoneJu02
362,Hunter Luepke,DAL,RB,23,0,0,0,0,0,3,13,4.33,1,3,2,10,5,0,0,0,1,10.3,93,,LuepHu00
363,Isaiah McKenzie,IND,WR,28,0,0,0,0,0,3,14,4.67,0,14,11,82,7.45,0,2,1,0,18.6,148,,McKeIs00
364,Ronnie Rivers,LAR,RB,24,0,0,0,0,0,13,57,4.38,0,4,4,18,4.5,0,0,0,0,11.5,97,,RiveRo01
365,Sterling Shepard,NYG,WR,30,0,0,0,0,0,0,0,,0,16,7,39,5.57,1,1,1,1,14.9,146,,ShepSt00
366,Ben Sims,GNB,TE,23,0,0,0,0,0,0,0,,0,4,3,15,5,1,0,0,1,10.5,73,,SimsBe00
367,Samori Toure,GNB,WR,25,0,0,0,0,0,0,0,,0,11,5,62,12.4,0,0,0,0,13.2,145,,TourSa00
368,Jamal Agnew,JAX,WR,28,0,0,0,0,0,4,-2,-0.5,0,12,9,90,10,0,1,1,0,15.8,151,,AgneJa00
369,Nick Bawden,NYJ,FB,27,0,0,0,0,0,1,1,1,1,2,2,13,6.5,0,0,0,1,9.4,98,,BawdNi00
370,Gary Brightwell,NYG,RB,24,0,0,0,0,0,9,19,2.11,0,7,5,47,9.4,0,0,0,0,11.6,102,,BrigGa00
371,Chase Brown,CIN,RB,23,0,0,0,0,0,11,67,6.09,0,3,3,7,2.33,0,0,0,0,10.4,99,,BrowCh10
372,Josiah Deguara,GNB,TE,26,0,0,0,0,0,0,0,,0,8,8,65,8.13,0,0,0,0,14.5,75,,DeguJo00
373,Simi Fehoko,LAC,WR,26,0,0,0,0,0,0,0,,0,2,1,9,9,1,0,0,1,7.9,150,,FehoSi00
374,Malik Heath,GNB,WR,23,0,0,0,0,0,0,0,,0,12,6,68,11.33,0,0,0,0,12.8,152,,HeatMa00
375,Tyler Huntley,BAL,QB,25,5,8,38,1,0,6,16,2.67,0,0,0,0,,0,0,0,0,7.1,51,,HuntTy01
376,Charlie Jones,CIN,WR,25,0,0,0,0,0,0,0,,0,2,1,6,6,0,0,0,1,7.6,153,,JoneCh11
377,Ihmir Smith-Marsette,CAR,WR,24,0,0,0,0,0,0,0,,0,1,1,14,14,0,1,0,1,8.4,149,,SmitIh00
378,Geoff Swaim,ARI,TE,30,0,0,0,0,0,0,0,,0,10,9,68,7.56,0,0,0,0,15.8,74,,SwaiGe00
379,Clayton Tune,ARI,QB,24,12,21,62,0,2,6,29,4.83,1,0,0,0,,0,1,1,1,7.4,50,,TuneCl00
380,Deuce Vaughn,DAL,RB,22,0,0,0,0,0,21,38,1.81,0,6,6,30,5,0,0,0,0,12.8,100,,VaugDe00
381,Trayveon Williams,CIN,RB,26,0,0,0,0,0,12,59,4.92,0,7,5,9,1.8,0,0,0,0,11.8,101,,WillTr06
382,Blake Bell,KAN,TE,32,0,0,0,0,0,0,0,,0,5,3,19,6.33,1,1,1,1,8.9,76,,BellBl00
383,Mike Boone,HOU,RB,28,0,0,0,0,0,5,23,4.6,0,9,7,40,5.71,0,1,0,0,13.3,104,,BoonMi00
384,Jalen Brooks,DAL,WR,23,0,0,0,0,0,0,0,,0,5,5,63,12.6,0,0,0,0,11.3,154,,BrooJa03
385,Rakim Jarrett,TAM,WR,22,0,0,0,0,0,1,0,0,0,9,4,60,15,0,0,0,0,10,155,,JarrRa00
386,Robert Tonyan,CHI,TE,29,0,0,0,0,0,0,0,,0,10,7,58,8.29,0,0,0,0,12.8,77,,TonyRo00
387,Zamir White,LVR,RB,24,0,0,0,0,0,18,46,2.56,0,6,6,38,6.33,0,1,1,0,12.4,103,,WhitZa01
388,Damien Williams,ARI,RB,31,0,0,0,0,0,11,43,3.91,0,2,2,12,6,0,0,0,0,7.5,105,,WillDa05
389,Jordan Akins,CLE,TE,31,0,0,0,0,0,0,0,,0,12,7,51,7.29,0,0,0,0,12.1,79,,AkinJo00
390,David Bell,CLE,WR,23,0,0,0,0,0,0,0,,0,11,6,45,7.5,0,0,0,0,10.5,162,,BellDa02
391,Lynn Bowden Jr.,NOR,WR,26,0,0,0,0,0,4,34,8.5,0,5,2,17,8.5,0,0,0,0,7.1,159,,BowdLy00
392,DeAndre Carter,LVR,WR,30,0,0,0,0,0,3,18,6,0,6,3,36,12,0,1,0,0,8.4,156,,CartDe02
393,Alex Erickson,LAC,WR,31,0,0,0,0,0,0,0,,0,5,3,52,17.33,0,0,0,0,8.2,158,,EricAl01
394,Elijah Higgins,ARI,TE,23,0,0,0,0,0,0,0,,0,8,4,49,12.25,0,0,0,0,8.9,81,,HiggEl00
395,Brian Hoyer,LVR,QB,38,23,42,231,0,2,3,-3,-1,0,0,0,0,,0,0,0,0,4.9,52,,HoyeBr00
396,Ty Montgomery,NWE,WR,30,0,0,0,0,0,3,9,3,0,12,5,40,8,0,0,0,0,9.9,160,,MontTy01
397,Johnny Mundt,MIN,TE,29,0,0,0,0,0,0,0,,0,5,5,45,9,0,0,0,0,9.5,82,,MundJo00
398,Dare Ogunbowale,HOU,RB,29,0,0,0,0,0,3,5,1.67,0,1,1,14,14,0,0,0,0,5.9,106,,OgunDa00
399,Patrick Ricard,BAL,FB,29,0,0,0,0,0,0,0,,0,5,4,48,12,0,0,0,0,8.8,107,,RicaPa00
400,Brett Rypien,LAR,QB,27,18,38,172,0,1,3,19,6.33,0,0,0,0,,0,2,1,0,4.8,53,,RypiBr00
401,Trent Sherfield,BUF,WR,27,0,0,0,0,0,0,0,,0,13,7,53,7.57,0,0,0,0,12.3,157,,SherTr00
402,Isaiah Spiller,LAC,RB,22,0,0,0,0,0,12,27,2.25,0,3,3,20,6.67,0,0,0,0,7.7,108,,SpilIs00
403,Mike Strachan,CAR,WR,26,0,0,0,0,0,0,0,,0,3,1,45,45,0,0,0,0,5.5,163,,StraMi03
404,Ian Thomas,CAR,TE,27,0,0,0,0,0,0,0,,0,6,4,51,12.75,0,0,0,0,9.1,80,,ThomIa00
405,Darnell Washington,PIT,TE,22,0,0,0,0,0,0,0,,0,9,6,53,8.83,0,0,0,0,11.3,78,,WashDa03
406,Quez Watkins,PHI,WR,25,0,0,0,0,0,0,0,,0,9,7,49,7,0,0,0,0,11.9,161,,WatkQu00
407,C.J. Beathard,JAX,QB,30,12,14,77,0,0,4,5,1.25,0,0,0,0,,0,1,0,0,3.6,55,,BeatC.00
408,Randall Cobb,NYJ,WR,33,0,0,0,0,0,0,0,,0,12,3,20,6.67,0,0,0,0,7,167,,CobbRa00
409,Marquise Goodwin,CLE,WR,33,0,0,0,0,0,4,33,8.25,0,11,3,10,3.33,0,0,0,0,7.3,166,,GoodMa00
410,Tim Jones,JAX,WR,25,0,0,0,0,0,0,0,,0,10,7,44,6.29,0,0,0,0,11.4,164,,JoneTi00
411,Equanimeous St. Brown,CHI,WR,27,0,0,0,0,0,0,0,,0,5,4,44,11,0,0,0,0,8.4,165,,St.BEq00
412,Ke'Shawn Vaughn,TAM,RB,26,0,0,0,0,0,24,42,1.75,0,5,2,2,1,0,0,0,0,6.4,109,,VaugKe00
413,Mike White,MIA,QB,28,3,4,70,1,1,5,-7,-1.4,0,0,0,0,,0,0,0,0,4.1,54,,WhitMi01
414,Khari Blasingame,CHI,FB,27,0,0,0,0,0,8,26,3.25,0,4,2,5,2.5,0,0,0,0,5.1,112,,BlasKh00
415,Michael Burton,DEN,FB,31,0,0,0,0,0,5,7,1.4,0,1,1,3,3,0,0,0,0,4,113,,BurtMi00
416,Greg Dulcich,DEN,TE,23,0,0,0,0,0,0,0,,0,4,3,25,8.33,0,0,0,0,5.5,88,,DulcGr00
417,Payne Durham,TAM,TE,23,0,0,0,0,0,0,0,,0,6,4,33,8.25,0,0,0,0,7.3,83,,DurhPa00
418,Devin Duvernay,BAL,WR,26,0,0,0,0,0,4,15,3.75,0,9,4,18,4.5,0,0,0,0,7.3,169,,DuveDe00
419,Eric Gray,NYG,RB,24,0,0,0,0,0,13,27,2.08,0,1,1,1,1,0,3,0,0,3.8,114,,GrayEr01
420,Jaren Hall,MIN,QB,25,8,10,101,0,0,4,10,2.5,0,0,0,0,,0,1,1,0,3,57,,HallJa00
421,Mecole Hardman,2TM,WR,25,0,0,0,0,0,1,3,3,0,13,9,47,5.22,0,1,1,0,12,172,,HardMe00
422,Brycen Hopkins,LAR,TE,26,0,0,0,0,0,0,0,,0,4,3,31,10.33,0,0,0,0,6.1,85,,HopkBr01
423,Trishton Jackson,MIN,WR,25,0,0,0,0,0,0,0,,0,4,2,9,4.5,0,0,0,0,4.9,173,,JackTr02
424,Velus Jones Jr.,CHI,WR,26,0,0,0,0,0,4,22,5.5,0,5,3,9,3,0,0,0,0,6.1,171,,JoneVe00
425,Teagan Quitoriano,HOU,TE,23,0,0,0,0,0,0,0,,0,3,2,33,16.5,0,0,0,0,5.3,84,,QuitTe00
426,Jalen Reagor,NWE,WR,24,0,0,0,0,0,0,0,,0,11,3,33,11,0,0,0,0,6.3,170,,ReagJa00
427,Justyn Ross,KAN,WR,24,0,0,0,0,0,0,0,,0,6,3,34,11.33,0,0,0,0,6.4,168,,RossJu00
428,Trey Sermon,IND,RB,24,0,0,0,0,0,8,24,3,0,4,1,4,4,0,0,0,0,3.8,115,,SermTr00
429,Steven Sims,HOU,WR,26,0,0,0,0,0,0,0,,0,2,2,25,12.5,0,0,0,0,4.5,174,,SimsSt00
430,Keith Smith,ATL,FB,31,0,0,0,0,0,0,0,,0,3,3,33,11,0,0,0,0,6.3,110,,SmitKe03
431,Jack Stoll,PHI,TE,25,0,0,0,0,0,0,0,,0,7,4,27,6.75,0,0,0,0,6.7,87,,StolJa00
432,Sean Tucker,TAM,RB,22,0,0,0,0,0,15,23,1.53,0,2,2,9,4.5,0,0,0,0,5.2,111,,TuckSe00
433,Mitchell Wilcox,CIN,TE,27,0,0,0,0,0,0,0,,0,7,5,30,6,0,0,0,0,8,86,,WilcMi01
434,Malik Willis,TEN,QB,24,4,5,74,0,0,5,21,4.2,0,0,0,0,,0,1,1,0,3.1,56,,WillMa12
435,Israel Abanikanda,NYJ,RB,21,0,0,0,0,0,1,11,11,0,2,1,5,5,0,0,0,0,2.6,124,,AbanIs00
436,Nate Adkins,DEN,TE,24,0,0,0,0,0,0,0,,0,5,4,22,5.5,0,0,0,0,6.2,90,,AdkiNa00
437,Kayshon Boutte,NWE,WR,21,0,0,0,0,0,0,0,,0,7,2,19,9.5,0,0,0,0,3.9,178,,BoutKa00
438,Jason Brownlee,NYJ,WR,24,0,0,0,0,0,0,0,,0,2,2,20,10,0,0,0,0,4,177,,BrowJa07
439,DeeJay Dallas,SEA,RB,25,0,0,0,0,0,9,34,3.78,0,9,6,26,4.33,0,2,2,0,8,121,,DallDe00
440,Tyrion Davis-Price,SFO,RB,23,0,0,0,0,0,6,21,3.5,0,0,0,0,,0,0,0,0,2.1,119,,DaviTy03
441,Elijah Dotson,LAC,RB,24,0,0,0,0,0,4,6,1.5,0,2,2,13,6.5,0,0,0,0,3.9,122,,DotsEl00
442,Zach Evans,LAR,RB,22,0,0,0,0,0,8,16,2,0,0,0,0,,0,0,0,0,1.6,125,,EvanZa00
443,Erik Ezukanma,MIA,WR,23,0,0,0,0,0,5,22,4.4,0,1,0,0,,0,0,0,0,2.2,175,,EzukEr00
444,Jake Funk,IND,RB,25,0,0,0,0,0,2,10,5,0,1,1,12,12,0,0,0,0,3.2,117,,FunkJa00
445,Derrick Gore,WAS,RB,29,0,0,0,0,0,2,23,11.5,0,0,0,0,,0,0,0,0,2.3,116,,GoreDe00
446,C.J. Ham,MIN,FB,30,0,0,0,0,0,0,0,,0,8,6,19,3.17,0,0,0,0,7.9,123,,HamxC.00
447,Julian Hill,MIA,TE,23,0,0,0,0,0,0,0,,0,6,4,37,9.25,0,1,1,0,5.7,92,,HillJu02
448,Marvin Jones,DET,WR,33,0,0,0,0,0,0,0,,0,10,5,35,7,0,1,1,0,6.5,181,,JoneMa02
449,Keith Kirkwood,NOR,WR,29,0,0,0,0,0,0,0,,0,7,3,21,7,0,0,0,0,5.1,176,,KirkKe00
450,Zonovan Knight,DET,RB,22,0,0,0,0,0,3,13,4.33,0,1,1,8,8,0,0,0,0,3.1,120,,KnigZo00
451,Marcedes Lewis,CHI,TE,39,0,0,0,0,0,0,0,,0,3,2,24,12,0,0,0,0,4.4,89,,LewiMa00
452,Drew Lock,SEA,QB,27,4,12,66,0,1,1,11,11,0,0,0,0,,0,0,0,0,1.7,59,,LockDr00
453,Chris Manhertz,DEN,TE,31,0,0,0,0,0,0,0,,0,4,2,16,8,0,0,0,0,3.6,93,,ManhCh00
454,Jalen Nailor,MIN,WR,24,0,0,0,0,0,0,0,,0,1,1,16,16,0,0,0,0,2.6,180,,NailJa00
455,Zach Pascal,ARI,WR,29,0,0,0,0,0,0,0,,0,11,4,19,4.75,0,0,0,0,5.9,179,,PascZa00
456,Rashaad Penny,PHI,RB,27,0,0,0,0,0,5,17,3.4,0,1,1,5,5,0,0,0,0,3.2,118,,PennRa00
457,Cooper Rush,DAL,QB,30,15,20,114,0,1,12,-5,-0.42,0,0,0,0,,0,0,0,0,2.1,58,,RushCo00
458,Trevon Wesco,TEN,TE,28,0,0,0,0,0,0,0,,0,3,1,21,21,0,0,0,0,3.1,91,,WescTr00
459,Davis Allen,LAR,TE,22,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0,1.6,97,,AlleDa02
460,Miles Boykin,PIT,WR,27,0,0,0,0,0,0,0,,0,3,2,11,5.5,0,0,0,0,3.1,183,,BoykMi00
461,Jashaun Corbin,NYG,RB,23,0,0,0,0,0,1,1,1,0,3,3,12,4,0,0,0,0,4.3,126,,CorbJa01
462,Kenyan Drake,BAL,RB,29,0,0,0,0,0,1,0,0,0,3,2,31,15.5,0,1,1,0,3.1,129,,DrakKe00
463,Ross Dwelley,SFO,TE,28,0,0,0,0,0,0,0,,0,2,1,12,12,0,0,0,0,2.2,95,,DwelRo00
464,D'Wayne Eskridge,SEA,WR,26,0,0,0,0,0,2,5,2.5,0,1,0,0,,0,0,0,0,0.5,187,,EskrDW00
465,Chris Evans,CIN,RB,26,0,0,0,0,0,2,12,6,0,1,1,-1,-1,0,0,0,0,2.1,130,,EvanCh02
466,Tyler Goodson,IND,RB,23,0,0,0,0,0,0,0,,0,2,2,11,5.5,0,0,0,0,3.1,131,,GoodTy00
467,Evan Hull,IND,RB,23,0,0,0,0,0,1,1,1,0,1,1,6,6,0,0,0,0,1.7,134,,HullEv00
468,Jakob Johnson,LVR,FB,29,0,0,0,0,0,0,0,,0,2,1,12,12,0,0,0,0,2.2,128,,JohnJa12
469,Charlie Kolar,BAL,TE,24,0,0,0,0,0,0,0,,0,2,1,13,13,0,0,0,0,2.3,94,,KolaCh00
470,Marcus Mariota,PHI,QB,30,2,3,16,0,0,2,6,3,0,0,0,0,,0,0,0,0,1.2,61,,MariMa01
471,Anthony McFarland Jr.,PIT,RB,24,0,0,0,0,0,0,0,,0,2,2,11,5.5,0,0,0,0,3.1,132,,McFaAn00
472,Davis Mills,HOU,QB,25,2,2,20,0,0,0,0,,0,0,0,0,,0,0,0,0,0.8,62,,MillDa02
473,Kene Nwangwu,MIN,RB,25,0,0,0,0,0,2,9,4.5,0,0,0,0,,0,0,0,0,0.9,133,,NwanKe00
474,Devine Ozigbo,DET,RB,27,0,0,0,0,0,3,5,1.67,0,1,1,8,8,0,0,0,0,2.3,127,,OzigDe01
475,Eric Saubert,2TM,TE,29,0,0,0,0,0,0,0,,0,1,1,5,5,0,0,0,0,1.5,98,,SaubEr00
476,Trevor Siemian,NYJ,QB,32,5,13,66,0,0,1,8,8,0,0,0,0,,0,3,1,0,1.4,60,,SiemTr00
477,Willie Snead,SFO,WR,31,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,0,1.9,185,,SneaWi00
478,Malik Taylor,NYJ,WR,28,0,0,0,0,0,0,0,,0,4,2,13,6.5,0,0,0,0,3.3,182,,TaylMa01
479,Cody Thompson,SEA,WR,27,0,0,0,0,0,0,0,,0,1,1,10,10,0,0,0,0,2,184,,ThomCo04
480,Austin Trammell,LAR,WR,25,0,0,0,0,0,0,0,,0,7,4,29,7.25,0,1,1,0,4.9,186,,TramAu00
481,Charlie Woerner,SFO,TE,26,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,0,1.9,96,,WoerCh00
482,Devon Allen,PHI,WR,29,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,190,,AlleDe02
483,Stephen Anderson,LAC,TE,30,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,101,,AndeSt01
484,Alex Armah,WAS,RB,29,0,0,0,0,0,0,0,,0,2,2,3,1.5,0,0,0,0,2.3,135,,ArmaAl00
485,Andre Baccellia,ARI,WR,26,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,191,,BaccAn00
486,Nick Bellore,SEA,FB,34,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,139,,BellNi01
487,Brandon Bolden,LVR,RB,33,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,140,,BoldBr00
488,Teddy Bridgewater,DET,QB,31,0,0,0,0,0,2,-2,-1,0,0,0,0,,0,0,0,0,-0.2,69,,BridTe00
489,Jacoby Brissett,WAS,QB,31,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,65,,BrisJa00
490,Matt Bushman,KAN,TE,28,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,102,,BushMa00
491,Terrell Bynum,LAC,WR,25,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,192,,BynuTe00
492,Damiere Byrd,ATL,WR,30,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,193,,ByrdDa00
493,Jason Cabinda,DET,FB,27,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,,141,,CabiJa00
494,Grant Calcaterra,PHI,TE,25,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,103,,CalcGr00
495,Marquez Callaway,NOR,WR,25,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,194,,CallMa01
496,Stephen Carlson,CHI,TE,27,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,104,,CarlSt00
497,Irvin Charles,NYJ,WR,26,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,195,,CharIr00
498,Julius Chestnut,TEN,RB,23,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,142,,ChesJu00
499,Dan Chisena,ARI,WR,26,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,196,,ChisDa00
500,Corey Clement,ARI,RB,29,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,143,,ClemCo00
501,Sean Clifford,GNB,QB,25,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,0,0,,66,,ClifSe00
502,Chris Conley,SFO,WR,31,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,197,,ConlCh00
503,Tanner Conner,MIA,TE,25,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,105,,ConnTa00
504,Elijah Cooks,JAX,WR,25,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,198,,CookEl00
505,Britain Covey,PHI,WR,26,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,199,,CoveBr00
506,Malik Cunningham,NWE,QB,25,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,63,,CunnMa00
507,Darrell Daniels,DET,TE,29,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,106,,DaniDa02
508,Frank Darby,ATL,WR,26,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,200,,DarbFr00
509,Jaelon Darden,CLE,WR,24,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,201,,DardJa00
510,Malik Davis,DAL,RB,25,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,144,,DaviMa02
511,Phillip Dorsett,DEN,WR,30,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,202,,DorsPh00
512,Keelan Doss,LAC,WR,27,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,203,,DossKe00
513,Colton Dowell,TEN,WR,24,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,204,,DoweCo00
514,Dylan Drummond,DET,WR,23,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,205,,DrumDy00
515,Princeton Fant,DAL,TE,24,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,107,,FantPr00
516,Tucker Fisk,ATL,TE,24,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,108,,FiskTu00
517,Dez Fitzpatrick,PIT,WR,26,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,206,,FitzDe00
518,John FitzPatrick,ATL,TE,23,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,109,,FitzJo00
519,Myles Gaskin,2TM,RB,26,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,145,,GaskMy00
520,Reggie Gilliam,BUF,FB,26,0,0,0,0,0,0,0,,0,1,1,3,3,0,0,0,0,1.3,136,,GillRe00
521,Antoine Green,DET,WR,24,0,0,0,0,0,0,0,,0,2,1,2,2,0,0,0,0,1.2,188,,GreeAn00
522,Jacob Harris,JAX,WR,26,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,207,,HarrJa03
523,N'Keal Harry,MIN,WR,26,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,208,,HarrNK00
524,Jamycal Hasty,JAX,RB,27,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,146,,HastJa02
525,Peyton Hendershot,DAL,TE,24,0,0,0,0,0,1,0,0,0,2,1,3,3,0,0,0,0,1.3,100,,HendPe01
526,Parker Hesse,ATL,TE,28,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,110,,HessPa00
527,J.P. Holtz,NOR,TE,30,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,111,,HoltJ.01
528,Travis Homer,CHI,RB,25,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,147,,HomeTr00
529,Jesper Horsted,LVR,TE,26,0,0,0,0,0,0,0,,0,1,1,4,4,0,0,0,0,1.4,99,,HorsJe00
530,Mohamed Ibrahim,DET,RB,25,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,148,,IbraMo00
531,Godwin Igwebuike,2TM,RB,29,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,149,,IgweGo00
532,Andy Isabella,BUF,WR,27,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,209,,IsabAn00
533,Kearis Jackson,TEN,WR,24,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,210,,JackKe02
